
*********************************************************************

   Se leyeron los datos del archivo: ENTRADA.TXT
   Se graba la salida en el archivo: SALIDA.TXT

*********************************************************************

*****************************************************
*CASODEPRUEBAPARAELCAREMCONXENONYQUEMADO*
*****************************************************

Cálculo estático de flujo y K efectivo
BETA =  1.65

 IT  Conv Flujo    Conv Keff      Kefectivo     Sigma       Omega
  5.8035E-05  5.6627E-05  5.6627E-05  4.8029E-05  6.0196E-05  9.1367E-05  4.6458E-05  5.3785E-05
  6.6481E-05  6.4865E-05  6.4865E-05  5.5017E-05  6.8956E-05  1.0466E-04  5.3216E-05  6.1610E-05
  7.2303E-05  7.0544E-05  7.0544E-05  5.9835E-05  7.4996E-05  1.1382E-04  5.7875E-05  6.7005E-05
  7.5273E-05  7.3441E-05  7.3441E-05  6.2292E-05  7.8076E-05  1.1850E-04  6.0251E-05  6.9757E-05
  7.5273E-05  7.3441E-05  7.3441E-05  6.2292E-05  7.8076E-05  1.1850E-04  6.0251E-05  6.9757E-05
  7.2303E-05  7.0544E-05  7.0544E-05  5.9835E-05  7.4996E-05  1.1382E-04  5.7875E-05  6.7005E-05
  6.6481E-05  6.4865E-05  6.4865E-05  5.5017E-05  6.8956E-05  1.0466E-04  5.3216E-05  6.1610E-05
  5.8035E-05  5.6627E-05  5.6627E-05  4.8029E-05  6.0196E-05  9.1367E-05  4.6458E-05  5.3785E-05
  4.7300E-05  4.6159E-05  4.6159E-05  3.9146E-05  4.9062E-05  7.4476E-05  3.7872E-05  4.3841E-05
  3.4736E-05  3.3918E-05  3.3918E-05  2.8755E-05  3.6046E-05  5.4733E-05  2.7837E-05  3.2210E-05
  2.2063E-05  2.1679E-05  2.1679E-05  1.8327E-05  2.2513E-05  3.4350E-05  1.7922E-05  2.0583E-05
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 33      COL 34      COL 35      COL 36      COL 37      COL 38      COL 39      COL 40   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9928E-05  2.2063E-05  2.1679E-05  2.1679E-05  1.8327E-05  2.0777E-05  3.0350E-05  2.1679E-05
  3.1890E-05  3.4736E-05  3.3918E-05  3.3918E-05  2.8755E-05  3.3269E-05  4.8273E-05  3.3918E-05
  4.3396E-05  4.7300E-05  4.6159E-05  4.6159E-05  3.9146E-05  4.5283E-05  6.5682E-05  4.6159E-05
  5.3240E-05  5.8035E-05  5.6627E-05  5.6627E-05  4.8029E-05  5.5559E-05  8.0579E-05  5.6627E-05
  6.0986E-05  6.6481E-05  6.4865E-05  6.4865E-05  5.5017E-05  6.3645E-05  9.2303E-05  6.4865E-05
  6.6327E-05  7.2303E-05  7.0544E-05  7.0544E-05  5.9835E-05  6.9220E-05  1.0039E-04  7.0544E-05
  6.9051E-05  7.5273E-05  7.3441E-05  7.3441E-05  6.2292E-05  7.2063E-05  1.0451E-04  7.3441E-05
  6.9051E-05  7.5273E-05  7.3441E-05  7.3441E-05  6.2292E-05  7.2063E-05  1.0451E-04  7.3441E-05
  6.6327E-05  7.2303E-05  7.0544E-05  7.0544E-05  5.9835E-05  6.9220E-05  1.0039E-04  7.0544E-05
  6.0986E-05  6.6481E-05  6.4865E-05  6.4865E-05  5.5017E-05  6.3645E-05  9.2303E-05  6.4865E-05
  5.3240E-05  5.8035E-05  5.6627E-05  5.6627E-05  4.8029E-05  5.5559E-05  8.0579E-05  5.6627E-05
  4.3396E-05  4.7300E-05  4.6159E-05  4.6159E-05  3.9146E-05  4.5283E-05  6.5682E-05  4.6159E-05
  3.1890E-05  3.4736E-05  3.3918E-05  3.3918E-05  2.8755E-05  3.3269E-05  4.8273E-05  3.3918E-05
  1.9928E-05  2.2063E-05  2.1679E-05  2.1679E-05  1.8327E-05  2.0777E-05  3.0350E-05  2.1679E-05
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 41      COL 42      COL 43      COL 44      COL 45      COL 46      COL 47      COL 48   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0350E-05  1.9241E-05  1.8500E-05  2.0583E-05  3.4350E-05  1.8500E-05  1.6469E-05  1.8327E-05
  4.8273E-05  3.0800E-05  2.9108E-05  3.2210E-05  5.4733E-05  2.9108E-05  2.6434E-05  2.8755E-05
  6.5682E-05  4.1917E-05  3.9635E-05  4.3841E-05  7.4476E-05  3.9635E-05  3.5979E-05  3.9146E-05
  8.0579E-05  5.1427E-05  4.8631E-05  5.3785E-05  9.1367E-05  4.8631E-05  4.4143E-05  4.8029E-05
  9.2303E-05  5.8910E-05  5.5708E-05  6.1610E-05  1.0466E-04  5.5708E-05  5.0567E-05  5.5017E-05
  1.0039E-04  6.4069E-05  6.0587E-05  6.7005E-05  1.1382E-04  6.0587E-05  5.4995E-05  5.9835E-05
  1.0451E-04  6.6700E-05  6.3076E-05  6.9757E-05  1.1850E-04  6.3076E-05  5.7254E-05  6.2292E-05
  1.0451E-04  6.6700E-05  6.3076E-05  6.9757E-05  1.1850E-04  6.3076E-05  5.7254E-05  6.2292E-05
  1.0039E-04  6.4069E-05  6.0587E-05  6.7005E-05  1.1382E-04  6.0587E-05  5.4995E-05  5.9835E-05
  9.2303E-05  5.8910E-05  5.5708E-05  6.1610E-05  1.0466E-04  5.5708E-05  5.0567E-05  5.5017E-05
  8.0579E-05  5.1427E-05  4.8631E-05  5.3785E-05  9.1367E-05  4.8631E-05  4.4143E-05  4.8029E-05
  6.5682E-05  4.1917E-05  3.9635E-05  4.3841E-05  7.4476E-05  3.9635E-05  3.5979E-05  3.9146E-05
  4.8273E-05  3.0800E-05  2.9108E-05  3.2210E-05  5.4733E-05  2.9108E-05  2.6434E-05  2.8755E-05
  3.0350E-05  1.9241E-05  1.8500E-05  2.0583E-05  3.4350E-05  1.8500E-05  1.6469E-05  1.8327E-05
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 49      COL 50      COL 51      COL 52      COL 53      COL 54      COL 55      COL 56   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0350E-05  2.2063E-05  1.6469E-05  1.9241E-05  1.8327E-05  2.2063E-05  2.0777E-05  1.9928E-05
  4.8273E-05  3.4736E-05  2.6434E-05  3.0800E-05  2.8755E-05  3.4736E-05  3.3269E-05  3.1890E-05
  6.5682E-05  4.7300E-05  3.5979E-05  4.1917E-05  3.9146E-05  4.7300E-05  4.5283E-05  4.3396E-05
  8.0579E-05  5.8035E-05  4.4143E-05  5.1427E-05  4.8029E-05  5.8035E-05  5.5559E-05  5.3240E-05
  9.2303E-05  6.6481E-05  5.0567E-05  5.8910E-05  5.5017E-05  6.6481E-05  6.3645E-05  6.0986E-05
  1.0039E-04  7.2303E-05  5.4995E-05  6.4069E-05  5.9835E-05  7.2303E-05  6.9220E-05  6.6327E-05
  1.0451E-04  7.5273E-05  5.7254E-05  6.6700E-05  6.2292E-05  7.5273E-05  7.2063E-05  6.9051E-05
  1.0451E-04  7.5273E-05  5.7254E-05  6.6700E-05  6.2292E-05  7.5273E-05  7.2063E-05  6.9051E-05
  1.0039E-04  7.2303E-05  5.4995E-05  6.4069E-05  5.9835E-05  7.2303E-05  6.9220E-05  6.6327E-05
  9.2303E-05  6.6481E-05  5.0567E-05  5.8910E-05  5.5017E-05  6.6481E-05  6.3645E-05  6.0986E-05
  8.0579E-05  5.8035E-05  4.4143E-05  5.1427E-05  4.8029E-05  5.8035E-05  5.5559E-05  5.3240E-05
  6.5682E-05  4.7300E-05  3.5979E-05  4.1917E-05  3.9146E-05  4.7300E-05  4.5283E-05  4.3396E-05
  4.8273E-05  3.4736E-05  2.6434E-05  3.0800E-05  2.8755E-05  3.4736E-05  3.3269E-05  3.1890E-05
  3.0350E-05  2.2063E-05  1.6469E-05  1.9241E-05  1.8327E-05  2.2063E-05  2.0777E-05  1.9928E-05
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 57      COL 58      COL 59      COL 60      COL 61      COL 62      COL 63      COL 64   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8500E-05  2.2513E-05  1.9241E-05  2.0777E-05  1.6469E-05  0.0000E+00  0.0000E+00  0.0000E+00
  2.9108E-05  3.6046E-05  3.0800E-05  3.3269E-05  2.6434E-05  0.0000E+00  0.0000E+00  0.0000E+00
  3.9635E-05  4.9062E-05  4.1917E-05  4.5283E-05  3.5979E-05  0.0000E+00  0.0000E+00  0.0000E+00
  4.8631E-05  6.0196E-05  5.1427E-05  5.5559E-05  4.4143E-05  0.0000E+00  0.0000E+00  0.0000E+00
  5.5708E-05  6.8956E-05  5.8910E-05  6.3645E-05  5.0567E-05  0.0000E+00  0.0000E+00  0.0000E+00
  6.0587E-05  7.4996E-05  6.4069E-05  6.9220E-05  5.4995E-05  0.0000E+00  0.0000E+00  0.0000E+00
  6.3076E-05  7.8076E-05  6.6700E-05  7.2063E-05  5.7254E-05  0.0000E+00  0.0000E+00  0.0000E+00
  6.3076E-05  7.8076E-05  6.6700E-05  7.2063E-05  5.7254E-05  0.0000E+00  0.0000E+00  0.0000E+00
  6.0587E-05  7.4996E-05  6.4069E-05  6.9220E-05  5.4995E-05  0.0000E+00  0.0000E+00  0.0000E+00
  5.5708E-05  6.8956E-05  5.8910E-05  6.3645E-05  5.0567E-05  0.0000E+00  0.0000E+00  0.0000E+00
  4.8631E-05  6.0196E-05  5.1427E-05  5.5559E-05  4.4143E-05  0.0000E+00  0.0000E+00  0.0000E+00
  3.9635E-05  4.9062E-05  4.1917E-05  4.5283E-05  3.5979E-05  0.0000E+00  0.0000E+00  0.0000E+00
  2.9108E-05  3.6046E-05  3.0800E-05  3.3269E-05  2.6434E-05  0.0000E+00  0.0000E+00  0.0000E+00
  1.8500E-05  2.2513E-05  1.9241E-05  2.0777E-05  1.6469E-05  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 65      COL 66      COL 67      COL 68      COL 69      COL 70      COL 71      COL 72   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 73      COL 74      COL 75      COL 76      COL 77      COL 78      COL 79      COL 80   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 81      COL 82      COL 83      COL 84      COL 85      COL 86      COL 87      COL 88   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 89      COL 90      COL 91      COL 92      COL 93      COL 94      COL 95      COL 96   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 97      COL 98      COL 99      COL 100      COL 101      COL 102      COL 103      COL 104   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 105      COL 106      COL 107      COL 108      COL 109      COL 110      COL 111      COL 112   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00

      COL 113      COL 114      COL 115      COL 116      COL 117      COL 118      COL 119      COL 120   
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
